Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2025;37.071.983;332.989.192;562.383.897;73.402.420;884.554.222;-43.936.102;230.110;0;840.848.229;8.385.132;-229.994;0;8.155.138;244.643.298;-3.173.846;-67.260;25.182;241.427.375;145.878.126;-4.231.506;141.646.620;440.100.375;61.189.880;2.739.215.109
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2025;19.737.824;189.116.998;727.389.802;4.657.484;1.022.554.472;-90.599.521;-1.001;0;931.953.951;1.150.007;-186.522;0;963.484;128.529.270;-6.697.242;0;0;121.832.028;62.717.699;-1.186.776;61.530.922;342.701.417;53.637.134;2.453.521.042
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2025;10.070.147;147.796.327;474.000.606;47;1.357.662.970;-61.137.099;-268.976;0;1.296.256.895;0;0;0;0;3.095.619;-269.583;0;0;2.826.036;17.367.138;-1.301.914;16.065.223;251.635.201;21.204.078;2.219.854.559
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2025;15.256.243;235.352.853;358.167.383;18.986.015;691.353.365;-47.013.032;0;0;644.340.333;7.633.073;-114.048;0;7.519.025;171.988.620;-4.226.290;0;171.944;167.934.274;70.591.754;-1.901.545;68.690.210;315.890.488;79.112.524;1.911.249.346
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2025;7.771.187;128.447.179;261.170.840;58.980.024;464.390.818;-37.373.888;127.200;0;427.144.131;3.599.797;-21.894;0;3.577.904;70.950.863;-3.615.063;0;0;67.335.800;56.729.352;-840.834;55.888.518;254.841.351;25.708.619;1.290.865.553
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2025;30.037;34.775.529;244.139.795;1.327.052;358.066.330;-8.069.086;74.728;0;350.071.972;0;0;0;0;57.161.004;-4.979.025;-10.551;0;52.171.429;0;0;0;277.393.334;2.110.940;962.020.087
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2025;9.109.528;86.908.402;262.600.346;45.743.102;162.717.622;-11.384.461;-310.746;0;151.022.415;185.029;-676;0;184.354;53.851.066;-1.596.793;-811;0;52.253.462;5.299.328;-243.111;5.056.217;100.422.498;32.802.312;746.102.634
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;12/2025;3.684.766;269.279;78.238.361;24.672;105.099.418;-38.146.003;0;0;66.953.415;0;0;0;0;0;0;0;0;0;75.149.289;-4.768.808;70.380.481;122.952.679;2.803.398;345.307.051
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2025;7.018.333;30.994.935;148.680.390;29.940.739;22.303.185;-448.650;0;171;21.854.707;0;0;0;0;8.061.248;-38.413;-3.837;0;8.018.998;9.069.132;-34.619;9.034.512;30.565.523;7.813.248;293.921.385
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2025;5.345.183;22.462.967;68.042.534;3.234.074;101.351.405;-5.941.975;-353.068;0;95.056.362;3.010.118;-120.925;-6.804;2.882.388;43.731.069;-1.420.407;6.487;0;42.317.150;1.027.663;-29.324;998.339;40.530.812;3.606.865;284.476.673
