Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;12/2025;185.595.090;22.566.062;208.161.152;20.428.008;228.589.160;1.312.221.371;5.906.394;5.286.538;25.851.498;7.716.377;970.507;4.517.002;50.248.316;143.006.495;0;1.505.476.182;2.983.476.680;12,33%;13,83%;15,18%;53.662.019;1.867.597;6,98%;19,43%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;12/2025;165.281.946;27.512.100;192.794.046;11.734.759;204.528.805;1.090.837.455;21.833.109;2.946.350;8.066.577;2.281;4.790.517;3.070.728;40.709.562;220.282.007;0;1.351.829.024;2.491.524.937;12,23%;14,26%;15,13%;47.314.016;18.186.740;7,74%;19,82%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;12/2025;124.320.006;21.524.112;145.844.118;29.124.636;174.968.754;964.645.252;5.044.796;1.484.452;5.388.531;5.379.493;11.297.550;964.507;29.559.330;114.757.266;0;1.108.961.848;2.141.573.090;11,21%;13,15%;15,78%;38.813.665;5.802.173;6,81%;26,91%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;12/2025;137.088.870;7.362.541;144.451.411;12.938.297;157.389.708;827.493.440;1.154.462;572.018;3.531.653;1.744.144;0;1.879.139;8.881.416;123.697.478;0;960.072.334;2.376.207.699;14,28%;15,05%;16,39%;33.602.532;9.421.450;6,08%;9,79%
BNDES - PRUDENCIAL;1000081847;b4;S2;1;C;1;RIO DE JANEIRO;RJ;12/2025;178.781.989;0;178.781.989;21.071.593;199.853.582;670.400.201;63.456.838;0;5.148.245;0;1.728.810;0;70.333.892;50.916.806;0;791.650.900;1.109.362.503;22,58%;22,58%;25,25%;20.312.301;3.173.636;16,12%;1,05%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;12/2025;86.426.541;8.121.854;94.548.395;20.521.151;115.069.546;628.491.877;6.180.621;642.368;15.090.084;10.772.476;9.306.908;3.571.724;45.564.180;74.911.155;0;748.967.211;1.275.520.788;11,54%;12,62%;15,36%;26.213.852;1.479.971;7,41%;14,94%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;12/2025;65.950.614;6.536.006;72.486.620;17.857.366;90.343.986;389.349.144;6.576.596;26.890.340;72.990.363;20.217.527;10.255.019;12.943.452;149.873.298;43.519.491;0;582.741.932;844.293.683;11,32%;12,44%;15,50%;14.577.033;1.315.530;8,59%;31,95%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;3;C;3;SAO PAULO;SP;12/2025;22.232.144;2.347.163;24.579.307;3.774.930;28.354.236;122.903.814;6.532.137;0;14.730;0;14.129;12.498;6.573.494;32.650.719;9.014.010;171.142.038;NA;12,99%;14,36%;16,57%;4.278.551;0;NA%;NA%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;12/2025;16.088.117;6.354.381;22.442.498;5.397.768;27.840.266;130.515.094;545.982;58.983;11.487.761;728.755;2.309.642;1.954.441;17.085.564;18.753.069;1.837.925;168.191.650;296.433.223;9,57%;13,34%;16,55%;4.204.791;1.609.947;7,57%;9,35%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;1;C;1;FORTALEZA;CE;12/2025;15.508.028;790.489;16.298.517;913.042;17.211.559;104.525.496;108.672;21;1.229.711;13.721;217.578;25.727;1.595.430;16.801.454;0;122.922.380;158.088.653;12,62%;13,26%;14,00%;3.073.059;471.944;10,31%;2,15%
XP - PRUDENCIAL;1000082475;b1;S2;1;C;2;RIO DE JANEIRO;RJ;12/2025;7.818.568;2.733.982;10.552.551;2.054.678;12.607.229;59.785.702;97.064;0;4.882.036;567.287;5.518.197;12.543.515;23.608.099;16.660.952;0;100.054.753;286.416.595;7,81%;10,55%;12,60%;2.501.369;698.044;3,68%;46,53%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;1;C;2;SAO PAULO;SP;12/2025;11.474.266;2.256.203;13.730.470;1.308.759;15.039.228;80.425.975;40.776;0;374.741;25.693;108.481;203.574;753.264;8.814.863;46.031;90.040.132;145.035.926;12,74%;15,25%;16,70%;2.251.003;730.259;9,47%;4,87%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;1;C;3;SAO PAULO;SP;12/2025;9.957.106;0;9.957.106;0;9.957.106;50.097.448;2.477.584;2.666;8.143.528;240.741;2.919.465;44.260;13.828.245;10.187.050;0;74.112.743;181.691.816;13,44%;13,44%;13,44%;1.852.819;755.254;5,48%;2,84%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;12/2025;10.303.400;0;10.303.400;4.102.445;14.405.845;60.974.294;1.233.060;0;1.015;0;6.739;0;1.240.813;10.413.792;1.078.089;73.706.989;169.514.326;13,98%;13,98%;19,54%;1.842.675;348.158;6,08%;10,20%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;1;C;2;SAO PAULO;SP;12/2025;7.063.099;2.767.258;9.830.357;0;9.830.357;61.337.456;586.484;720;3.206.563;17.999;927.400;1.298.154;6.037.322;6.323.316;0;73.698.094;108.090.475;9,58%;13,34%;13,34%;1.842.452;214.887;9,09%;17,37%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;12/2025;5.938.562;538.542;6.477.104;2.286.237;8.763.341;59.677.394;30.303;16.245;227.437;0;189.806;22.176;485.968;5.453.297;1.186.866;66.803.525;152.329.252;8,89%;9,70%;13,12%;1.670.088;16.802;4,25%;13,70%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;1;C;3;SAO PAULO;SP;12/2025;6.616.972;1.077.976;7.694.949;1.358.496;9.053.445;47.586.714;260.207;666.049;2.238.369;0;1.015.993;504.495;4.685.113;3.331.457;0;55.603.285;71.860.591;11,90%;13,84%;16,28%;1.390.082;244.011;10,71%;0,49%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;1;I;1;BELEM;PA;12/2025;7.240.499;0;7.240.499;0;7.240.499;48.033.479;6.349;0;798;2.831;22.109;0;32.087;6.455.672;0;54.521.239;75.722.867;13,28%;13,28%;13,28%;1.363.031;141.110;9,56%;2,57%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;1;I;3;SAO PAULO;SP;12/2025;5.154.599;1.853.048;7.007.647;0;7.007.647;42.665.163;554.890;258.880;4.009.329;0;2.165.451;0;6.988.550;2.894.615;0;52.548.329;78.163.912;9,81%;13,34%;13,34%;1.313.708;408.695;8,97%;0,96%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;1;C;3;SAO PAULO;SP;12/2025;10.985.366;0;10.985.366;0;10.985.366;11.027.821;1.527.233;140;17.665.554;1.542.766;3.556.509;2.946.492;27.238.693;8.566.668;0;46.833.182;134.472.024;23,46%;23,46%;23,46%;1.170.830;229.195;8,17%;1,31%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;1;C;2;RIO DE JANEIRO;RJ;12/2025;20.007.126;0;20.007.126;0;20.007.126;1.427.508;0;0;3;45.122.766;0;0;45.122.769;87.615;0;46.637.893;32.315.767;42,90%;42,90%;42,90%;1.165.947;0;61,91%;1,70%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;1;C;3;SAO PAULO;SP;12/2025;5.252.349;0;5.252.349;665.666;5.918.015;42.888.863;0;0;0;0;117.232;0;117.232;2.712.105;0;45.718.200;59.152.868;11,49%;11,49%;12,94%;1.142.955;462.959;8,88%;0,12%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;12/2025;5.384.556;251.464;5.636.019;806.686;6.442.705;37.180.070;152.681;15.313;342.690;3.893;0;570.092;1.084.669;5.996.395;339.991;44.601.125;111.837.237;12,07%;12,64%;14,45%;1.115.028;1.126.799;5,04%;13,37%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S3;3;C;3;OSASCO;SP;12/2025;4.914.420;0;4.914.420;358.249;5.272.669;22.339.213;538.788;0;0;0;11.189;0;549.977;7.142.467;12.881.051;42.912.708;NA;11,45%;11,45%;12,29%;1.072.818;9.762;NA%;NA%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;12/2025;5.127.942;2.546.393;7.674.335;55.623;7.729.958;32.675.746;536.450;9.661;128.645;0;160.293;0;835.049;3.371.150;1.441.824;38.323.770;224.149.687;13,38%;20,03%;20,17%;958.094;236.667;3,42%;1,42%
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;1;C;2;BRASILIA;DF;12/2025;5.889.401;608.553;6.497.954;0;6.497.954;26.698.806;555.730;0;16.484;0;0;0;572.213;4.818.249;1.748.277;33.837.545;196.333.101;17,40%;19,20%;19,20%;845.939;241.527;3,31%;10,97%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;1;C;3;SAO PAULO;SP;12/2025;4.235.572;1.245.010;5.480.581;1.125.683;6.606.264;21.328.373;306.640;9.405;5.934.720;110.182;2.256.578;4.113;8.621.638;3.333.570;0;33.283.581;50.549.090;12,73%;16,47%;19,85%;832.090;362.649;10,84%;1,32%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;1;C;3;SAO PAULO;SP;12/2025;6.860.914;0;6.860.914;0;6.860.914;7.064.173;997.370;135.841;16.899.009;0;1.294.473;682.189;20.008.883;3.297.287;0;30.370.343;50.522.110;22,59%;22,59%;22,59%;759.259;238.815;13,58%;1,94%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;12/2025;2.739.290;112.035;2.851.325;878.060;3.729.385;24.846.351;41.881;24;160.543;0;8.011;0;210.458;3.114.505;0;28.171.314;47.287.867;9,72%;10,12%;13,24%;704.283;253.389;6,03%;28,97%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;1;C;3;SAO PAULO;SP;12/2025;6.334.157;0;6.334.157;0;6.334.157;7.722.984;1.510.115;1.756.346;7.692.788;5.014.156;1.963.497;56.155;17.993.058;2.407.898;0;28.123.941;28.183.329;22,52%;22,52%;22,52%;703.099;54.648;22,47%;0,80%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;3;C;2;SAO PAULO;SP;12/2025;7.866.149;0;7.866.149;0;7.866.149;5.433.495;59.668;0;0;0;197.883;0;257.551;9.601.364;11.563.582;26.855.992;0;29,29%;29,29%;29,29%;1.342.800;56.519;NI%;NA%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;1;C;1;PORTO ALEGRE;RS;12/2025;5.204.454;0;5.204.454;0;5.204.454;22.299.379;2.562.367;0;1.881;0;1.271;0;2.565.518;1.239.388;0;26.104.286;31.972.841;19,94%;19,94%;19,94%;652.607;327.353;16,28%;0,74%
CIELO IP - PRUDENCIAL;1000084710;n4;NA;2;C;2;BARUERI;SP;12/2025;NA;NA;NA;NA;4.574.540;6.584.743;5.491;NA;NA;NA;NA;NA;5.491;0;18.769.371;25.359.605;NA;NA%;NA%;18,04%;NA;NA;NA%;NA%
AGIBANK - PRUDENCIAL;1000083694;b1;S3;1;C;3;CAMPINAS;SP;12/2025;3.320.568;228.842;3.549.410;327.455;3.876.865;22.483.368;6;0;186.390;0;41.032;0;227.428;2.263.238;0;24.974.034;48.936.525;13,30%;14,21%;15,52%;624.351;73.445;7,25%;43,90%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;1;C;2;SAO PAULO;SP;12/2025;1.839.822;676.654;2.516.476;976.998;3.493.473;22.170.730;4.839;0;119.972;160.200;28.299;0;313.311;1.703.984;0;24.188.025;32.851.087;7,61%;10,40%;14,44%;604.701;143.130;7,66%;5,59%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;1;I;3;CURITIBA;PR;12/2025;2.722.613;0;2.722.613;940.272;3.662.885;21.173.168;446.141;0;0;0;64.147;0;510.288;2.238.802;0;23.922.257;27.630.586;11,38%;11,38%;15,31%;598.056;229.777;9,85%;0,08%
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;1;C;3;SAO PAULO;SP;12/2025;3.475.492;0;3.475.492;0;3.475.492;22.398.835;0;0;0;0;32.104;0;32.104;973.275;0;23.404.214;32.445.083;14,85%;14,85%;14,85%;585.105;400.182;10,71%;0,20%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;12/2025;1.452.672;384.349;1.837.020;622.953;2.459.973;20.461.942;22.542;0;212;0;31.181;0;53.935;2.014.314;0;22.530.191;NA;6,45%;8,15%;10,92%;563.255;95.920;NA%;7,68%
PICPAY - PRUDENCIAL;1000088022;b1;S3;3;C;2;SAO PAULO;SP;12/2025;1.893.357;0;1.893.357;508.457;2.401.814;16.534.435;64.651;0;112;0;10.362;0;75.125;1.972.208;1.878.678;20.460.447;0;9,25%;9,25%;11,74%;511.511;34.624;NI%;NA%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;1;C;2;BELO HORIZONTE;MG;12/2025;1.864.937;261.877;2.126.814;439.748;2.566.563;16.925.922;2.575;146;5.948;290;0;30.021;38.981;2.001.459;0;18.966.362;36.193.658;9,83%;11,21%;13,53%;474.159;147.888;5,88%;19,32%
