Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2025;2.739.215.109;1.232.077.361;562.383.897;2.511.453.377;2.096.587.811;227.761.732;24.088.718;228.589.160;15,18%;19,43%;1.596;1.347
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2025;2.453.521.042;1.116.280.385;727.389.802;2.268.624.316;1.927.228.587;184.896.726;8.190.233;204.528.805;15,13%;19,82%;3.977;326
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2025;2.219.854.559;1.315.148.154;474.000.606;2.107.517.759;1.911.740.999;112.336.801;5.862.060;157.389.708;16,39%;9,79%;3.126;853
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2025;1.911.249.346;888.483.841;358.167.383;1.734.829.297;1.506.252.151;176.420.049;12.709.667;174.968.754;15,78%;26,91%;2.136;801
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2025;1.290.865.553;553.946.352;261.170.840;1.182.156.532;943.495.538;108.709.021;8.579.502;115.069.546;15,36%;14,94%;1.892;2.044
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2025;962.020.087;402.243.401;244.139.795;789.982.221;594.598.317;172.037.866;13.202.601;199.853.582;25,25%;1,05%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2025;746.102.634;208.516.447;262.600.346;671.185.343;532.070.834;74.917.292;8.727.905;90.343.986;15,50%;31,95%;66;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;12/2025;345.307.051;137.333.896;78.238.361;322.154.623;220.189.252;23.152.428;6.732.055;28.354.236;16,57%;NA%;6;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2025;293.921.385;38.908.217;148.680.390;282.358.915;225.415.364;11.562.470;637.992;12.607.229;12,60%;46,53%;12;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2025;284.476.673;141.254.239;68.042.534;267.046.378;225.643.931;17.430.295;2.201.469;27.840.266;16,55%;9,35%;189;3
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;12/2025;222.952.947;46.213.054;50.604.772;217.639.067;191.278.188;5.313.880;46.216;7.729.958;20,17%;1,42%;7;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2025;192.699.382;33.922.719;50.453.351;182.596.301;149.388.182;10.103.080;1.622.733;9.957.106;13,44%;2,84%;53;8
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;12/2025;191.965.841;40.472.569;50.261.587;185.986.231;161.244.529;5.979.610;477.738;6.497.954;19,20%;10,97%;8;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2025;163.726.145;61.214.623;69.199.129;152.547.736;138.180.570;11.178.409;985.393;14.405.845;19,54%;10,20%;516;43
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2025;148.151.010;90.672.676;38.176.876;142.018.852;102.231.764;6.132.158;1.411.068;8.763.341;13,12%;13,70%;6;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2025;139.052.175;76.513.703;33.558.294;126.360.022;104.054.294;12.692.152;950.147;15.039.228;16,70%;4,87%;8;3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2025;136.111.838;2.579.251;39.882.859;124.797.254;110.127.063;11.314.584;1.391.394;10.985.366;23,46%;1,31%;9;0
CIELO IP - PRUDENCIAL;1000084710;n4;NA;C;2;BARUERI;SP;12/2025;119.098.330;0;2.156.831;103.984.060;10.282.639;15.114.269;1.470.006;4.574.540;18,04%;NA%;1;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S3;C;3;OSASCO;SP;12/2025;103.521.816;27.230.457;7.620.795;97.980.882;64.454.746;5.540.934;384.084;5.272.669;12,29%;NA%;5;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2025;99.741.450;60.597.400;21.336.225;92.666.102;82.237.580;7.075.348;928.860;9.830.357;13,34%;17,37%;60;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2025;96.452.503;43.712.726;28.697.951;89.054.247;72.810.220;7.398.256;597.620;6.442.705;14,45%;13,37%;5;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;C;2;SAO PAULO;SP;12/2025;75.614.319;3.829.330;863.609;67.797.555;47.728.315;7.816.764;924.383;7.866.149;29,29%;NA%;5;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;12/2025;73.391.469;18.930.771;42.954.889;57.221.729;22.141.401;16.169.740;1.775.416;17.211.559;14,00%;2,15%;301;1
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2025;66.316.410;22.770.069;26.443.344;59.540.284;50.347.115;6.776.126;541.416;9.053.445;16,28%;0,49%;15;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2025;63.323.902;38.591.917;19.031.272;56.162.497;15.278.156;7.161.405;530.259;7.240.499;13,28%;2,57%;115;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2025;59.029.963;49.121.975;108.520;52.245.871;47.616.563;6.784.091;347.895;5.918.015;12,94%;0,12%;3;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2025;57.083.522;38.576.116;7.494.250;51.405.347;47.378.808;5.678.175;298.283;7.007.647;13,34%;0,96%;19;0
STONE IP - PRUDENCIAL;1000084686;n1;S3;C;3;SAO PAULO;SP;12/2025;55.418.013;2.455.301;42.169;45.437.459;23.761.824;9.980.553;1.598.112;2.870.671;15,66%;NA%;5;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;3;CAMPINAS;SP;12/2025;48.657.026;32.249.570;10.480.151;43.379.769;32.719.767;5.277.257;443.234;3.876.865;15,52%;43,90%;4;235
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2025;47.899.896;21.735.606;15.490.800;43.983.678;39.330.317;3.916.218;320.565;3.729.385;13,24%;28,97%;35;2
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2025;45.815.096;6.488.866;15.558.288;41.155.086;25.518.287;4.660.010;52.478;6.606.264;19,85%;1,32%;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2025;42.970.965;2.763.898;11.653.865;36.053.858;26.964.696;6.917.107;756.199;6.860.914;22,59%;1,94%;3;0
