Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
3X IP - PRUDENCIAL;1000087597;n4;I;2;BELO HORIZONTE;MG;12/2025;NI;NI;NI;NI;NA;2
99PAY IP - PRUDENCIAL;1000087793;n1;C;3;SAO PAULO;SP;12/2025;Não;Sim;3.280.676;0;S5;3
A COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BRAZIL GR LTDA.;48172860;b3S;I;2;RIO CLARO;SP;12/2025;Não;Sim;6.548;NI;S5;1
A27 IP - PRUDENCIAL;1000087504;n4;I;2;FLORES DA CUNHA;RS;12/2025;Não;Sim;18.395;0;NA;2
A55 SCD - PRUDENCIAL;1000086512;n1;I;2;SAO PAULO;SP;12/2025;NI;NI;96.356;0;S5;1
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;71.860.591;1.728.330;S3;1
ACCREDITO SCD - PRUDENCIAL;1000085331;n1;I;2;SAO PAULO;SP;12/2025;Não;Sim;78.606;0;S5;1
ACG IP - PRUDENCIAL;1000086093;n4;I;2;SAO PAULO;SP;12/2025;Não;Sim;245.788;0;NA;2
ACTIVTRADES CCTVM - PRUDENCIAL;1000085977;n2;I;3;FLORIANOPOLIS;SC;12/2025;Não;Não;12.423;0;S4;3
ACTUAL DTVM - PRUDENCIAL;1000087243;n2;I;2;BELO HORIZONTE;MG;12/2025;Não;Não;27.052;0;S4;3
ADVANCED CC LTDA - PRUDENCIAL;1000082004;n2;I;2;SAO PAULO;SP;12/2025;NI;NI;NI;NI;S5;3
ADYEN DO BRASIL IP - PRUDENCIAL;1000087401;n4;I;3;SAO PAULO;SP;12/2025;Não;Sim;2.562.890;0;NA;2
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;I;1;SAO PAULO;SP;12/2025;Não;Não;4.182.767;0;S4;1
AF DO ESTADO DE SC S.A. - PRUDENCIAL;1000081074;n1;C;1;FLORIANOPOLIS;SC;12/2025;Não;Não;1.945.924;0;S4;1
AF ESTADO DE PERNAMBUCO S.A. - PRUDENCIAL;1000081177;n1;I;1;RECIFE;PE;12/2025;Não;Não;76.653;0;S4;1
AF PARANÁ - PRUDENCIAL;1000081115;n1;C;1;CURITIBA;PR;12/2025;Não;Não;4.322.413;0;S4;1
AFAL - PRUDENCIAL;1000081081;n1;I;1;MACEIO;AL;12/2025;Não;Não;58.212;0;S4;1
AFEAM - PRUDENCIAL;1000081108;n1;I;1;MANAUS;AM;12/2025;Não;Não;313.219;0;S4;1
AG. FOMENTO AMAPA S.A. - PRUDENCIAL;1000081098;n1;I;1;MACAPA;AP;12/2025;Não;Não;17.369;0;S4;1
AG. FOMENTO ESTADO DE RORAIMA - PRUDENCIAL;1000081036;n1;I;1;BOA VISTA;RR;12/2025;Não;Não;22.547;0;S4;1
AG. FOMENTO ESTADO DO TOCANTINS - PRUDENCIAL;1000081122;n1;I;1;PALMAS;TO;12/2025;Não;Não;81.913;0;S4;1
AGENCIA DE FOMENTO DO RN S.A. - PRUDENCIAL;1000081043;n1;I;1;NATAL;RN;12/2025;Não;Não;102.627;0;S4;1
