Código,Instituição,Segmento_Prudencial,Ativo Total,Carteira de Crédito Total,Indice_Basileia (%),Capital_Principal_CET1 (%),Razao_Alavancagem (%),Deposito_Vista_vs_Funding (%),LDR (%),Indice_Inadimplencia_II (%),ICP_Cobertura (%),ROE_Calculado (%),ROA_Calculado (%),Indice_Eficiencia_IE (%),LCR (%)
1000080099,ITAU - PRUDENCIAL,S1,2739215109.0,1232077361.0,15.18,12.33,6.98,6.5,109.4,1.83,195.2,10.58,0.88,70.7,
1000080329,BB - PRUDENCIAL,S1,2453521042.0,1116280385.0,15.13,12.23,7.74,4.76,119.89,3.68,220.71,4.43,0.33,114.59,
1000080738,CAIXA ECONÃMICA FEDERAL - PRUDENCIAL,S1,2219854559.0,1315148154.0,16.39,14.28,6.08,2.82,159.08,2.07,224.86,5.22,0.26,87.66,
1000080075,BRADESCO - PRUDENCIAL,S1,1911249346.0,888483841.0,15.78,11.21,6.81,2.34,121.69,2.33,227.22,7.2,0.66,105.72,
1000080185,SANTANDER - PRUDENCIAL,S1,1290865553.0,553946352.0,15.36,11.54,7.41,3.8,112.68,3.09,218.12,7.89,0.66,57.73,
1000081847,BNDES - PRUDENCIAL,S2,962020087.0,402243401.0,25.25,22.58,16.12,0.0,9137.04,0.03,7999.33,7.67,1.37,24.38,
1000080336,BTG PACTUAL - PRUDENCIAL,S1,746102634.0,208516447.0,15.5,11.32,8.59,2.04,116.48,2.44,223.39,11.65,1.17,34.21,
1000084693,NU PAGAMENTOS - PRUDENCIAL,S2,345307051.0,137333896.0,16.57,12.99,,0.0,74.81,16.32,170.18,29.08,1.95,109.08,
1000082475,XP - PRUDENCIAL,S2,293921385.0,38908217.0,12.6,7.81,3.68,0.68,41.66,0.69,167.05,5.52,0.22,84.73,
1000080109,SAFRA - PRUDENCIAL,S2,284476673.0,141254239.0,16.55,9.57,7.57,1.05,173.78,0.68,622.66,12.63,0.77,98.4,
1000080745,BCO COOPERATIVO SICREDI - PRUDENCIAL,S2,222952947.0,46213054.0,20.17,13.38,3.42,0.06,67.2,0.01,485.71,0.87,0.02,-54.07,
1000080192,CITIBANK - PRUDENCIAL,S2,192699382.0,33922719.0,13.44,13.44,5.48,5.19,36.52,1.35,109.84,16.06,0.84,142.45,
1000080879,BANCO SICOOB - PRUDENCIAL,S2,191965841.0,40472569.0,19.2,17.4,3.31,0.12,31.37,0.61,116.88,7.99,0.25,-118.56,
1000080154,BANRISUL - PRUDENCIAL,S2,163726145.0,61214623.0,19.54,13.98,6.08,3.11,60.82,2.71,219.8,8.82,0.6,111.78,
1000084844,BANCO C6 - PRUDENCIAL,S3,148151010.0,90672676.0,13.12,8.89,4.25,2.01,111.85,2.01,231.61,23.01,0.95,60.54,
1000080484,VOTORANTIM - PRUDENCIAL,S2,139052175.0,76513703.0,16.7,12.74,9.47,0.86,288.27,4.52,269.15,7.49,0.68,59.77,
1000080116,JP MORGAN CHASE - PRUDENCIAL,S3,136111838.0,2579251.0,23.46,23.46,8.17,1.58,10.37,0.0,,12.3,1.02,338.44,
1000084710,CIELO IP - PRUDENCIAL,,119098330.0,0.0,18.04,,,0.0,0.0,,,9.73,1.23,557.11,
1000084820,MERCADO PAGO IP - PRUDENCIAL,S3,103521816.0,27230457.0,12.29,11.45,,0.0,47.36,19.44,130.3,6.93,0.37,826.46,
1000081744,BCO DAYCOVAL S.A - PRUDENCIAL,S3,99741450.0,60597400.0,13.34,9.58,9.09,2.53,204.99,1.11,265.33,13.13,0.93,68.63,
1000080996,INTER - PRUDENCIAL,S3,96452503.0,43712726.0,14.45,12.07,5.04,2.52,77.65,4.65,119.56,8.08,0.62,110.16,
1000084813,PAGSEGURO - PRUDENCIAL,S3,75614319.0,3829330.0,29.29,29.29,,0.0,10.13,0.46,435.66,11.83,1.22,-86.91,
1000081593,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,S2,73391469.0,18930771.0,14.0,12.62,10.31,14.64,129.97,3.52,166.68,10.98,2.42,54.31,
1000080312,ABC-BRASIL - PRUDENCIAL,S3,66316410.0,22770069.0,16.28,11.9,10.71,1.23,243.47,1.28,109.05,7.99,0.82,51.03,
1000081249,BCO DA AMAZONIA S.A. - PRUDENCIAL,S3,63323902.0,38591917.0,13.28,13.28,9.56,12.83,292.28,3.94,188.41,7.4,0.84,53.3,
1000080202,VOLKSWAGEN - PRUDENCIAL,S3,59029963.0,49121975.0,12.94,11.49,8.88,0.0,161.28,1.83,307.03,5.13,0.59,46.67,
1000081555,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,S3,57083522.0,38576116.0,13.34,9.81,8.97,0.03,2487.39,2.09,90.05,5.25,0.52,51.11,
1000084686,STONE IP - PRUDENCIAL,S3,55418013.0,2455301.0,15.66,12.97,,0.0,17.2,1.33,1119.88,16.01,2.88,-157.64,
1000083694,AGIBANK - PRUDENCIAL,S3,48657026.0,32249570.0,15.52,13.3,7.25,1.06,142.53,1.71,434.68,8.4,0.91,73.13,
1000080178,BMG - PRUDENCIAL,S3,47899896.0,21735606.0,13.24,9.72,6.03,0.9,95.55,3.21,223.65,8.19,0.67,73.82,
1000080673,BNP PARIBAS - PRUDENCIAL,S3,45815096.0,6488866.0,19.85,12.73,10.84,6.97,66.66,0.56,148.24,1.13,0.11,110.36,
1000080556,BOFA MERRILL LYNCH - PRUDENCIAL,S3,42970965.0,2763898.0,22.59,22.59,13.58,6.61,12.06,0.0,,10.93,1.76,47.33,
